Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
BJ Freeman,Milwaukee,G,6'6,Junior,21,21,6.7,4.2,10,41.9,35,83.2
Preston Ruedinger,Green Bay,G,6'2,Sophomore,22,8.4,2.7,2.3,-96,41.7,35.4,82
Bo Myers,Wright St.,F,6'6,Senior,0,1.6,0.4,0.1,-4,50,60,100
Dominic Ham,Milwaukee,G,6'5,Senior,10,3.1,2.4,0.8,8,51.7,45,68.8
Faizon Fields,Milwaukee,F,6'10,Junior,15,9.5,6.4,0.8,45,57.9,12.5,70.2
Tobin Schwannecke,Detroit Mercy,G,6'3,Junior,0,1.2,0.6,0.2,-11,52.6,45.5,25
Chris Morgan,Purdue Fort Wayne,G,6'2,Sophomore,0,0.5,0,0.5,14,25,0,0
Oton Jankovic,Detroit Mercy,F,6'10,Senior,3,2.6,1.6,0.6,-77,38.9,0,66.7
Alex Huibregtse,Wright St.,G,6'3,Junior,30,12.5,3.5,3.3,133,52,42.1,82.9
Brandon Noel,Wright St.,F,6'8,Sophomore,30,14.6,8.1,1.7,93,54.2,40.3,79.6
Andrew Welage,Wright St.,G,6'6,Senior,0,4.8,1.6,1.2,53,48.8,41.8,80
Eric Mulder,Purdue Fort Wayne,F,6'8,Sophomore,30,5.9,7.2,0.4,158,71,NA,36.6
TJ Moss,Cleveland St.,G,6'4,Senior,0,0.7,0.5,0.4,-24,22.2,NA,80
Isaiah Jones,Oakland,G,6'5,Sophomore,27,5.3,4.5,1.6,99,57.3,23.5,74.5
Rocket Watts,Oakland,G,6'2,Senior,13,7.8,1.7,1.5,6,41.1,25.4,83.1
Marcus Tankersley,Detroit Mercy,G,6'4,Sophomore,30,16.6,3.8,2.2,-365,46.7,27.9,80.4
Blake Lampman,Oakland,G,6'3,Senior,24,13.2,3.2,3,102,38.7,36.9,95.5
Cade Meyer,Northern Ky.,F,6'8,Junior,0,4.2,2.2,0.2,-44,52.2,NA,38.2
Keeyan Itejere,Northern Ky.,F,6'9,Sophomore,26,7.8,4.8,0.5,82,67.9,NA,54.5
Ziggy Reid,Youngstown St.,F,6'6,Senior,28,15,5.2,1.8,207,45.6,36.6,81.1
Markeith Browning II,Milwaukee,G,6'4,Junior,9,9.8,3.4,1.9,-89,44,27.6,66.7
Tanner Holden,Wright St.,G,6'6,Senior,27,16.4,6.5,3.7,138,54.7,40,71.2
Maximus Nelson,Purdue Fort Wayne,F,6'8,Sophomore,0,6.4,2.1,0.5,80,39.6,38.5,75
Chris Ford,Robert Morris,F,6'5,Junior,10,3.3,3,0.8,-37,63.6,100,18.4
Learic Davis,Milwaukee,G,6'7,Freshman,1,2.8,1.4,0.8,62,41.1,29.2,77.8
Trey Calvin,Wright St.,G,6',Senior,29,19.8,2.3,4.2,183,48.2,40.4,89.3
EJ Farmer,Youngstown St.,G,6'5,Junior,3,6.9,1.7,0.7,94,41.8,26.2,76.9
Brandon Rush,Youngstown St.,G,6'3,Senior,24,11.1,4.2,0.6,119,37.5,30.9,82.5
Anthony Roberts,Purdue Fort Wayne,G,6'4,Senior,31,13.2,5.8,1.5,170,45.9,29.2,80.2
DQ Cole,Oakland,F,6'3,Junior,19,8.7,4,2.1,61,48.3,35.2,62.2
Tuburu Naivalurua,Oakland,F,6'6,Junior,1,3.5,3.4,0.3,60,51.1,100,52.5
Michael Rogers,Oakland,G,6',Junior,0,1.5,0.4,0.1,22,57.1,NA,50
TJ Wainwright,Robert Morris,G,6'3,Sophomore,5,9.6,2.1,1.4,-90,42.1,34.1,74.6
Stephaun Walker,Robert Morris,F,6'7,Sophomore,26,9.7,5.7,1.1,-135,49.8,28.9,71.1
Langston Wilson,Milwaukee,F,6'9,Senior,11,5.2,4.4,0.2,-34,53.3,5.3,63.4
Tristan Enaruna,Cleveland St.,F,6'8,Senior,32,20.1,6.6,2.8,59,49.6,31.2,71.9
Jackson Last,Robert Morris,G,6'5,Junior,17,5.9,3.4,1.7,-131,34,33,77.8
Corey Hadnot II,Purdue Fort Wayne,G,6'3,Freshman,0,5.9,1.5,1.4,63,39.5,27.3,66.7
Jayden Stone,Detroit Mercy,G,6'4,Senior,25,20.8,5.6,2.7,-288,42.2,31.2,79.4
Tanner O'Grady,Robert Morris,G,6',Sophomore,0,0.8,0,0.5,7,66.7,100,0
Destin Whitaker,Purdue Fort Wayne,G,6'5,Senior,0,1.7,0.5,0.1,11,40.9,40.9,88.9
Markeese Hastings,Robert Morris,F,6'7,Senior,29,14.2,7.6,1.7,-97,51.5,38.9,75
Ben Krystkowiak,Robert Morris,G,6'4,Sophomore,0,1.5,0.3,0.3,-22,31.2,30.8,50
Jayson Woodrich,Cleveland St.,F,6'7,Senior,18,8,2.8,0.7,44,37.1,34.7,80.4
Jlynn Counter,IUPUI,G,6'3,Junior,23,13.7,3.8,3,-376,43.4,27.9,81.2
Vincent Brady II,IUPUI,G,6'4,Sophomore,20,9.2,3.5,1.6,-339,40,21.4,69.2
John Egbuta,IUPUI,F,6'6,Senior,9,5.9,2.6,0.2,-197,47.2,34.5,61.3
Randall Pettus II,Northern Ky.,G,6'3,Freshman,5,5.5,2.8,1.2,-11,41.2,33.3,80.6
